TYPE LAT LON H FREQ A ICAO NAME
T 50.9022 4.49861 184 118.6 50 EBBR "Brussels Natl"
T 50.9022 4.49861 184 251.65 50 EBBR "Brussels Natl"
T 50.9022 4.49861 184 120.775 50 EBBR "Brussels Natl"
T 50.9022 4.49861 184 257.8 50 EBBR "Brussels Natl"
T 51.1901 4.46291 39 121.4 50 EBAW "Deurne"
T 51.1901 4.46291 39 119.7 50 EBAW "Deurne"
T 26.5587 -78.6956 7 118.5 50 MYGF "Grand Bahama"
T 25.039 -77.4662 16 119.5 50 MYNN "Nassau"
T 23.8433 90.3978 27 118.3 50 VGZR "Zia"
T 17.5391 -88.3082 15 118 50 MZBZ "Philip S W Goldson"
T 17.5391 -88.3082 15 121 50 MZBZ "Philip S W Goldson"
T 17.5391 -88.3082 15 126.9 50 MZBZ "Philip S W Goldson"
T 43.8246 18.3315 1708 118.25 50 LQSA "Sarajevo"
T -16.5133 -68.1923 13313 118.3 50 SLLP "El Alto"
T -15.8626 -47.9127 3479 118.45 50 SBBR "Presidente Juscelino Kubitschek"
T -15.8626 -47.9127 3479 118.1 50 SBBR "Presidente Juscelino Kubitschek"
T -22.8089 -43.2436 28 118 50 SBGL "Galeao Antonio Carlos Jobim"
T -22.8089 -43.2436 28 118.2 50 SBGL "Galeao Antonio Carlos Jobim"
T -22.9105 -43.1631 11 118.7 50 SBRJ "Santos Dumont"
T -22.9323 -43.7191 10 118.8 50 SBSC "Santa Cruz"
T -22.9323 -43.7191 10 122.9 50 SBSC "Santa Cruz"
T -5.91136 -35.248 169 118.7 50 SBNT "Augusto Severo"
T -5.91136 -35.248 169 122.8 50 SBNT "Augusto Severo"
T 42.6952 23.4062 1742 118.1 50 LBSF "Sofia"
T 42.6952 23.4062 1742 120.4 50 LBSF "Sofia"
T 43.2321 27.8251 230 119.5 50 LBWN "Varna"
T 43.2321 27.8251 230 118.9 50 LBWN "Varna"
T 4.94557 114.928 73 118.7 50 WBSB "Brunei"
T 4.94557 114.928 73 121.9 50 WBSB "Brunei"
T 53.6675 -113.854 2255 120 50 CZVL "Edmonton Villeneuve"
T 49.7108 -124.887 84 126.2 50 CYQQ "Comox"
T 49.7108 -124.887 84 236.6 50 CYQQ "Comox"
T 49.7108 -124.887 84 358.1 50 CYQQ "Comox"
T 49.195 -123.182 14 118.7 50 CYVR "Vancouver"
T 49.195 -123.182 14 119.55 50 CYVR "Vancouver"
T 49.195 -123.182 14 124 50 CYVR "Vancouver"
T 49.195 -123.182 14 226.5 50 CYVR "Vancouver"
T 49.195 -123.182 14 236.6 50 CYVR "Vancouver"
